"miles","passengers","delay","inflight_meal","inflight_entertainment","inflight_wifi","day_of_week","redeye","weekend","coach_price","firstclass_price","hours","new_miles","new_passengers","new_coach_price","new_firstclass_price"
1968,181,7,"No","Yes","Yes","Sunday","Yes","Yes",298.96,1558.78,4,11983,10196,10313.96,11573.78
1320,216,10,"Yes","Yes","Yes","Wednesday","No","No",352.24,1217.95,2,11335,10231,10367.24,11232.95
1801,223,10,"No","Yes","Yes","Saturday","No","Yes",394.235,1506.87,3,11816,10238,10409.235,11521.87
4210,198,30,"Yes","Yes","Yes","Friday","No","Yes",518.2,1772.74,8,14225,10213,10533.2,11787.74
733,198,12,"Yes","No","Yes","Tuesday","No","No",197.775,1054.06,1,10748,10213,10212.775,11069.06
2174,210,0,"Yes","Yes","No","Friday","No","Yes",388,1589.61,4,12189,10225,10403,11604.61
2266,205,11,"No","Yes","Yes","Saturday","No","Yes",456.4,1576.09,4,12281,10220,10471.4,11591.09
832,220,28,"Yes","Yes","Yes","Monday","No","No",365.35,1292.44,2,10847,10235,10380.35,11307.44
4222,210,0,"No","No","Yes","Sunday","No","Yes",386.56,1570.49,8,14237,10225,10401.56,11585.49
1998,217,43,"Yes","Yes","No","Saturday","No","Yes",334.67,1521.73,4,12013,10232,10349.67,11536.73
800,192,11,"Yes","No","Yes","Saturday","No","Yes",374.95,1391.63,1,10815,10207,10389.95,11406.63
734,226,9,"Yes","Yes","Yes","Sunday","No","Yes",381.37,1515.54,1,10749,10241,10396.37,11530.54
1596,218,10,"Yes","Yes","Yes","Wednesday","No","No",315.88,1246.37,3,11611,10233,10330.88,11261.37
2192,212,7,"Yes","Yes","Yes","Saturday","No","Yes",470.37,1622.39,4,12207,10227,10485.37,11637.39
3783,212,6,"Yes","Yes","Yes","Friday","No","Yes",491.685,1705.62,7,13798,10227,10506.685,11720.62
836,211,10,"No","Yes","Yes","Sunday","No","Yes",389.59,1504.32,2,10851,10226,10404.59,11519.32
2082,207,30,"No","Yes","Yes","Sunday","No","Yes",456.98,1534.79,4,12097,10222,10471.98,11549.79
2482,211,21,"No","Yes","Yes","Sunday","No","Yes",410.13,1664.62,5,12497,10226,10425.13,11679.62
672,197,42,"No","Yes","Yes","Friday","No","Yes",381.34,1564.6,1,10687,10212,10396.34,11579.6
2008,196,24,"No","Yes","Yes","Thursday","No","No",337.2,1193.53,4,12023,10211,10352.2,11208.53
4044,210,11,"No","Yes","Yes","Sunday","No","Yes",422.94,1594.74,7,14059,10225,10437.94,11609.74
1345,206,12,"No","Yes","Yes","Thursday","No","No",356.545,1283.32,2,11360,10221,10371.545,11298.32
797,203,12,"Yes","No","Yes","Saturday","No","Yes",344.765,1425.56,1,10812,10218,10359.765,11440.56
2337,216,13,"No","Yes","Yes","Saturday","No","Yes",443.965,1667.26,4,12352,10231,10458.965,11682.26
807,209,11,"No","Yes","Yes","Sunday","No","Yes",365.565,1502.32,1,10822,10224,10380.565,11517.32
1047,216,25,"No","Yes","Yes","Tuesday","No","No",313.895,1242.57,2,11062,10231,10328.895,11257.57
2664,209,12,"Yes","Yes","Yes","Friday","No","Yes",410.32,1569.25,5,12679,10224,10425.32,11584.25
2311,201,12,"No","Yes","Yes","Sunday","No","Yes",460.225,1570.64,4,12326,10216,10475.225,11585.64
819,198,10,"No","Yes","Yes","Saturday","No","Yes",333.545,1458.79,1,10834,10213,10348.545,11473.79
637,208,12,"No","Yes","Yes","Saturday","No","Yes",429.545,1484.33,1,10652,10223,10444.545,11499.33
841,211,14,"No","Yes","Yes","Monday","No","No",252.415,1237.46,2,10856,10226,10267.415,11252.46
991,203,13,"Yes","Yes","Yes","Monday","No","No",289.255,1211.2,2,11006,10218,10304.255,11226.2
1922,203,8,"Yes","Yes","No","Sunday","No","Yes",365.13,1496.12,3,11937,10218,10380.13,11511.12
2484,226,8,"No","Yes","Yes","Monday","No","No",342.34,1342.46,5,12499,10241,10357.34,11357.46
735,214,13,"Yes","Yes","Yes","Friday","No","Yes",379.415,1631.61,1,10750,10229,10394.415,11646.61
4156,174,9,"No","Yes","Yes","Thursday","Yes","No",285.04,1307.58,8,14171,10189,10300.04,11322.58
521,207,9,"Yes","Yes","Yes","Friday","No","Yes",368.435,1467.09,1,10536,10222,10383.435,11482.09
4035,221,19,"No","Yes","Yes","Friday","No","Yes",436.735,1701.88,7,14050,10236,10451.735,11716.88
4180,210,8,"Yes","No","No","Monday","No","No",291.72,1238,8,14195,10225,10306.72,11253
1356,212,12,"No","No","Yes","Sunday","No","Yes",320.48,1474.97,2,11371,10227,10335.48,11489.97
2829,199,8,"No","Yes","Yes","Thursday","No","No",401.375,1310.05,5,12844,10214,10416.375,11325.05
1963,212,12,"Yes","Yes","Yes","Thursday","No","No",334.995,1235.65,4,11978,10227,10349.995,11250.65
2558,202,7,"No","Yes","Yes","Saturday","No","Yes",426.64,1578.27,5,12573,10217,10441.64,11593.27
1430,221,10,"Yes","No","Yes","Wednesday","No","No",246.77,1040.81,3,11445,10236,10261.77,11055.81
2209,201,8,"No","Yes","Yes","Friday","No","Yes",438.865,1598.71,4,12224,10216,10453.865,11613.71
2266,207,10,"Yes","Yes","Yes","Friday","No","Yes",484.7,1650.43,4,12281,10222,10499.7,11665.43
1404,210,12,"No","Yes","Yes","Thursday","No","No",358.46,1285.08,3,11419,10225,10373.46,11300.08
2075,198,14,"No","Yes","Yes","Friday","No","Yes",418.245,1555.86,4,12090,10213,10433.245,11570.86
2263,213,11,"Yes","Yes","Yes","Tuesday","No","No",396.015,1275.32,4,12278,10228,10411.015,11290.32
2133,200,12,"No","Yes","Yes","Saturday","No","Yes",417.735,1576.15,4,12148,10215,10432.735,11591.15
3989,193,9,"No","Yes","Yes","Friday","No","Yes",496.925,1751.12,7,14004,10208,10511.925,11766.12
1857,199,34,"No","Yes","Yes","Tuesday","No","No",366.795,1221.58,3,11872,10214,10381.795,11236.58
2622,209,12,"No","Yes","Yes","Monday","No","No",355.89,1275.89,5,12637,10224,10370.89,11290.89
3779,205,16,"Yes","Yes","Yes","Saturday","No","Yes",458.985,1709.87,7,13794,10220,10473.985,11724.87
632,208,11,"Yes","Yes","Yes","Wednesday","No","No",351.28,1181.77,1,10647,10223,10366.28,11196.77
2604,213,10,"No","Yes","No","Friday","No","Yes",364.24,1527.49,5,12619,10228,10379.24,11542.49
927,227,8,"No","Yes","Yes","Saturday","No","Yes",426.595,1615.75,2,10942,10242,10441.595,11630.75
1923,211,12,"No","Yes","Yes","Sunday","No","Yes",438.055,1641.78,3,11938,10226,10453.055,11656.78
837,216,36,"No","Yes","Yes","Saturday","No","Yes",358.775,1579.69,2,10852,10231,10373.775,11594.69
1688,209,12,"No","Yes","Yes","Saturday","No","Yes",424.05,1519.56,3,11703,10224,10439.05,11534.56
2074,217,25,"No","Yes","Yes","Sunday","No","Yes",425.02,1649.89,4,12089,10232,10440.02,11664.89
4008,211,21,"No","Yes","Yes","Sunday","No","Yes",519.67,1671.1,7,14023,10226,10534.67,11686.1
3876,205,11,"No","Yes","No","Friday","No","Yes",373.92,1516.14,7,13891,10220,10388.92,11531.14
1849,202,11,"Yes","Yes","Yes","Saturday","No","Yes",515.685,1569.64,3,11864,10217,10530.685,11584.64
1991,201,11,"Yes","No","Yes","Tuesday","No","No",335.495,1225.18,4,12006,10216,10350.495,11240.18
1994,215,32,"No","Yes","Yes","Sunday","No","Yes",433.67,1525.72,4,12009,10230,10448.67,11540.72
1813,209,10,"Yes","Yes","Yes","Friday","No","Yes",480.385,1552.78,3,11828,10224,10495.385,11567.78
2359,206,12,"No","Yes","Yes","Monday","No","No",328.205,1331.62,4,12374,10221,10343.205,11346.62
3095,214,12,"No","No","Yes","Friday","No","Yes",395.105,1527.35,6,13110,10229,10410.105,11542.35
1164,200,31,"No","No","Yes","Sunday","No","Yes",333.24,1459.4,2,11179,10215,10348.24,11474.4
1703,215,25,"Yes","Yes","No","Friday","No","Yes",363.655,1487.35,3,11718,10230,10378.655,11502.35
2671,194,7,"Yes","No","Yes","Sunday","No","Yes",373.375,1551.49,5,12686,10209,10388.375,11566.49
1343,205,11,"No","No","No","Saturday","No","Yes",247.005,1422.27,2,11358,10220,10262.005,11437.27
1992,204,13,"No","Yes","Yes","Friday","No","Yes",426.28,1576.56,4,12007,10219,10441.28,11591.56
2894,165,4,"No","Yes","Yes","Sunday","Yes","Yes",399.55,1476.9,5,12909,10180,10414.55,11491.9
2079,207,29,"No","Yes","Yes","Wednesday","No","No",322.395,1278.5,4,12094,10222,10337.395,11293.5
756,205,12,"No","Yes","Yes","Saturday","No","Yes",418.02,1500.18,1,10771,10220,10433.02,11515.18
2207,203,9,"No","Yes","Yes","Friday","No","Yes",426.075,1658.44,4,12222,10218,10441.075,11673.44
1735,207,12,"No","Yes","Yes","Friday","No","Yes",468.005,1574.52,3,11750,10222,10483.005,11589.52
1394,207,10,"Yes","Yes","Yes","Saturday","No","Yes",415.15,1530.86,3,11409,10222,10430.15,11545.86
854,212,21,"Yes","Yes","Yes","Saturday","No","Yes",371.28,1529.3,2,10869,10227,10386.28,11544.3
4063,205,19,"Yes","Yes","Yes","Saturday","No","Yes",489.695,1722.42,7,14078,10220,10504.695,11737.42
546,212,24,"No","Yes","Yes","Saturday","No","Yes",382.26,1461.25,1,10561,10227,10397.26,11476.25
1656,209,9,"Yes","Yes","Yes","Monday","No","No",293.78,1271.65,3,11671,10224,10308.78,11286.65
1568,203,12,"No","Yes","Yes","Sunday","No","Yes",418.15,1577.16,3,11583,10218,10433.15,11592.16
1917,208,7,"No","Yes","Yes","Sunday","No","Yes",426.355,1511.36,3,11932,10223,10441.355,11526.36
708,208,0,"No","Yes","Yes","Thursday","No","No",309.64,1309.89,1,10723,10223,10324.64,11324.89
2008,198,10,"Yes","Yes","Yes","Monday","No","No",275.1,1336.04,4,12023,10213,10290.1,11351.04
2550,217,10,"No","Yes","Yes","Tuesday","No","No",403.7,1296.67,5,12565,10232,10418.7,11311.67
1408,203,9,"Yes","No","Yes","Monday","No","No",282.39,1196.65,3,11423,10218,10297.39,11211.65
2320,192,10,"No","Yes","Yes","Monday","No","No",358.64,1324.73,4,12335,10207,10373.64,11339.73
817,206,10,"No","Yes","No","Sunday","No","Yes",341.915,1422.57,1,10832,10221,10356.915,11437.57
1463,204,11,"Yes","No","Yes","Monday","No","No",243.565,1195.54,3,11478,10219,10258.565,11210.54
2960,218,12,"No","No","Yes","Saturday","No","Yes",419.3,1598.53,5,12975,10233,10434.3,11613.53
558,230,9,"Yes","No","Yes","Tuesday","No","No",265.53,1171.87,1,10573,10245,10280.53,11186.87
2389,212,10,"Yes","Yes","Yes","Sunday","No","Yes",395.135,1600.3,4,12404,10227,10410.135,11615.3
2533,206,0,"No","Yes","No","Monday","No","No",256.935,1202.42,5,12548,10221,10271.935,11217.42
2144,207,12,"No","Yes","Yes","Saturday","No","Yes",486.84,1501.09,4,12159,10222,10501.84,11516.09
2365,221,8,"Yes","Yes","Yes","Wednesday","No","No",378.435,1300.71,4,12380,10236,10393.435,11315.71
742,203,10,"No","Yes","Yes","Tuesday","No","No",283.06,1264.98,1,10757,10218,10298.06,11279.98
1548,206,10,"No","Yes","Yes","Saturday","No","Yes",419.72,1578.78,3,11563,10221,10434.72,11593.78
1664,160,9,"Yes","Yes","Yes","Saturday","Yes","Yes",398.26,1578.75,3,11679,10175,10413.26,11593.75
2143,215,13,"No","Yes","Yes","Wednesday","No","No",282.275,1278.98,4,12158,10230,10297.275,11293.98
642,210,10,"No","Yes","Yes","Saturday","No","Yes",426.86,1504.36,1,10657,10225,10441.86,11519.36
2368,209,10,"Yes","Yes","Yes","Sunday","No","Yes",507.96,1627.33,4,12383,10224,10522.96,11642.33
2380,220,11,"No","Yes","Yes","Saturday","No","Yes",444.17,1624.42,4,12395,10235,10459.17,11639.42
2231,207,10,"Yes","Yes","Yes","Saturday","No","Yes",406.665,1691.49,4,12246,10222,10421.665,11706.49
753,206,12,"No","Yes","Yes","Sunday","No","Yes",394.875,1529.72,1,10768,10221,10409.875,11544.72
2152,213,27,"No","Yes","Yes","Tuesday","No","No",369.74,1188.54,4,12167,10228,10384.74,11203.54
2755,204,8,"No","Yes","Yes","Sunday","No","Yes",415.805,1605.1,5,12770,10219,10430.805,11620.1
986,216,9,"No","Yes","Yes","Friday","No","Yes",363.45,1451.2,2,11001,10231,10378.45,11466.2
2839,166,8,"Yes","No","Yes","Sunday","Yes","Yes",302.315,1564.37,5,12854,10181,10317.315,11579.37
2109,212,13,"No","Yes","Yes","Monday","No","No",350.065,1262.85,4,12124,10227,10365.065,11277.85
1972,201,13,"Yes","Yes","Yes","Saturday","No","Yes",416.13,1617.42,4,11987,10216,10431.13,11632.42
1805,219,0,"No","No","No","Monday","No","No",202.995,1077.04,3,11820,10234,10217.995,11092.04
2510,207,10,"No","Yes","Yes","Thursday","No","No",349.25,1245.59,5,12525,10222,10364.25,11260.59
3129,202,6,"No","No","No","Friday","No","Yes",312.785,1470.37,6,13144,10217,10327.785,11485.37
1755,219,12,"Yes","Yes","Yes","Sunday","No","Yes",413.865,1594.72,3,11770,10234,10428.865,11609.72
4166,208,10,"No","Yes","Yes","Monday","No","No",394.39,1430.31,8,14181,10223,10409.39,11445.31
1895,208,27,"No","Yes","No","Saturday","No","Yes",358.065,1578.11,3,11910,10223,10373.065,11593.11
2294,210,10,"Yes","Yes","Yes","Monday","No","No",390.94,1306.41,4,12309,10225,10405.94,11321.41
788,202,0,"Yes","Yes","No","Friday","No","Yes",349.58,1438.28,1,10803,10217,10364.58,11453.28
1013,209,10,"No","Yes","No","Saturday","No","Yes",356.555,1490.45,2,11028,10224,10371.555,11505.45
1419,197,11,"No","Yes","Yes","Sunday","No","Yes",409.865,1575.92,3,11434,10212,10424.865,11590.92
1618,216,10,"No","Yes","Yes","Sunday","No","Yes",393.78,1545.05,3,11633,10231,10408.78,11560.05
1286,220,23,"No","Yes","Yes","Wednesday","No","No",360.11,1260.43,2,11301,10235,10375.11,11275.43
1352,209,12,"Yes","No","No","Sunday","No","Yes",301.87,1511.51,2,11367,10224,10316.87,11526.51
1693,159,15,"No","Yes","Yes","Saturday","Yes","Yes",320.155,1571.98,3,11708,10174,10335.155,11586.98
610,212,11,"No","Yes","Yes","Sunday","No","Yes",308.18,1533.34,1,10625,10227,10323.18,11548.34
1002,219,11,"Yes","Yes","No","Sunday","No","Yes",308.59,1376.27,2,11017,10234,10323.59,11391.27
1504,207,7,"Yes","Yes","Yes","Sunday","No","Yes",423.48,1559.51,3,11519,10222,10438.48,11574.51
677,208,12,"No","Yes","Yes","Friday","No","Yes",446.395,1484.17,1,10692,10223,10461.395,11499.17
1456,213,8,"Yes","Yes","No","Saturday","No","Yes",340.27,1400.01,3,11471,10228,10355.27,11415.01
2546,208,38,"Yes","No","Yes","Friday","No","Yes",439.35,1554.4,5,12561,10223,10454.35,11569.4
2402,214,12,"No","Yes","Yes","Sunday","No","Yes",461.04,1685.2,4,12417,10229,10476.04,11700.2
2250,212,8,"No","Yes","Yes","Saturday","No","Yes",435.45,1535.19,4,12265,10227,10450.45,11550.19
2306,204,12,"Yes","Yes","Yes","Sunday","No","Yes",434.25,1533.21,4,12321,10219,10449.25,11548.21
2341,206,13,"Yes","Yes","Yes","Sunday","No","Yes",476.775,1596.08,4,12356,10221,10491.775,11611.08
1386,198,11,"No","Yes","Yes","Sunday","No","Yes",379.54,1510.41,3,11401,10213,10394.54,11525.41
2059,216,9,"No","Yes","Yes","Friday","No","Yes",470.455,1532.82,4,12074,10231,10485.455,11547.82
1952,209,12,"No","Yes","Yes","Saturday","No","Yes",430.04,1636.19,4,11967,10224,10445.04,11651.19
2010,221,12,"No","Yes","Yes","Tuesday","No","No",344.57,1334.94,4,12025,10236,10359.57,11349.94
2595,207,19,"No","Yes","Yes","Saturday","No","Yes",485.355,1608.88,5,12610,10222,10500.355,11623.88
2098,154,17,"No","Yes","Yes","Friday","Yes","Yes",331.5,1560.76,4,12113,10169,10346.5,11575.76
742,212,8,"No","No","Yes","Thursday","No","No",260.66,1113.57,1,10757,10227,10275.66,11128.57
679,215,10,"Yes","Yes","Yes","Friday","No","Yes",410.485,1522.36,1,10694,10230,10425.485,11537.36
2007,211,10,"No","Yes","Yes","Friday","No","Yes",423.235,1577.81,4,12022,10226,10438.235,11592.81
2470,216,10,"No","Yes","Yes","Tuesday","No","No",333.1,1274.86,4,12485,10231,10348.1,11289.86
2742,214,11,"No","Yes","No","Sunday","No","Yes",406.8,1572.33,5,12757,10229,10421.8,11587.33
676,201,0,"No","Yes","Yes","Thursday","No","No",291.06,1289.32,1,10691,10216,10306.06,11304.32
749,201,0,"No","Yes","Yes","Sunday","No","Yes",419.495,1493.62,1,10764,10216,10434.495,11508.62
4260,198,12,"Yes","Yes","Yes","Sunday","No","Yes",474.02,1729.17,8,14275,10213,10489.02,11744.17
2922,209,11,"No","No","Yes","Sunday","No","Yes",351.99,1546.2,5,12937,10224,10366.99,11561.2
2162,219,12,"Yes","Yes","Yes","Friday","No","Yes",381.3,1624.23,4,12177,10234,10396.3,11639.23
1997,198,34,"No","Yes","Yes","Sunday","No","Yes",405.155,1618.31,4,12012,10213,10420.155,11633.31
2139,213,32,"No","Yes","Yes","Wednesday","No","No",331.775,1267.28,4,12154,10228,10346.775,11282.28
598,207,7,"No","Yes","Yes","Sunday","No","Yes",328.37,1459.16,1,10613,10222,10343.37,11474.16
2340,202,12,"No","Yes","Yes","Tuesday","No","No",324.76,1289.19,4,12355,10217,10339.76,11304.19
2674,210,11,"Yes","Yes","Yes","Sunday","No","Yes",427.52,1616.66,5,12689,10225,10442.52,11631.66
2526,212,0,"No","No","Yes","Thursday","No","No",298.48,1231.88,5,12541,10227,10313.48,11246.88
3968,208,9,"Yes","Yes","Yes","Tuesday","No","No",415.32,1481.37,7,13983,10223,10430.32,11496.37
1551,207,7,"No","Yes","Yes","Wednesday","No","No",350.825,1325.78,3,11566,10222,10365.825,11340.78
4117,217,11,"No","Yes","Yes","Friday","No","Yes",482.285,1646.42,7,14132,10232,10497.285,11661.42
1155,203,14,"Yes","Yes","No","Saturday","No","Yes",342.115,1513.27,2,11170,10218,10357.115,11528.27
2609,212,9,"No","Yes","Yes","Saturday","No","Yes",458.585,1581.14,5,12624,10227,10473.585,11596.14
3947,217,12,"No","No","Yes","Monday","No","No",369.815,1229.37,7,13962,10232,10384.815,11244.37
4033,221,9,"No","Yes","Yes","Saturday","No","Yes",466.895,1663.74,7,14048,10236,10481.895,11678.74
2871,165,10,"Yes","Yes","Yes","Thursday","Yes","No",293.625,1284.1,5,12886,10180,10308.625,11299.1
1930,213,12,"No","Yes","No","Wednesday","No","No",327.53,1120.7,4,11945,10228,10342.53,11135.7
2981,215,5,"No","Yes","Yes","Wednesday","No","No",408.565,1399.8,5,12996,10230,10423.565,11414.8
2634,213,10,"No","Yes","Yes","Friday","No","Yes",400.39,1629.79,5,12649,10228,10415.39,11644.79
1482,203,9,"No","Yes","Yes","Thursday","No","No",341.05,1144.57,3,11497,10218,10356.05,11159.57
864,216,10,"Yes","Yes","Yes","Friday","No","Yes",426.3,1531.98,2,10879,10231,10441.3,11546.98
3962,195,26,"No","Yes","Yes","Saturday","No","Yes",516.03,1798.61,7,13977,10210,10531.03,11813.61
646,201,6,"No","Yes","Yes","Tuesday","No","No",307.17,1154.01,1,10661,10216,10322.17,11169.01
4170,219,9,"No","No","Yes","Tuesday","No","No",302.89,1353.71,8,14185,10234,10317.89,11368.71
1813,207,31,"No","No","Yes","Thursday","No","No",303.175,1216.9,3,11828,10222,10318.175,11231.9
2201,209,17,"No","Yes","Yes","Saturday","No","Yes",444.545,1686.41,4,12216,10224,10459.545,11701.41
887,196,0,"No","Yes","Yes","Thursday","No","No",283.485,1239.33,2,10902,10211,10298.485,11254.33
4050,159,11,"No","Yes","Yes","Tuesday","Yes","No",284.14,1423.86,7,14065,10174,10299.14,11438.86
759,204,12,"Yes","Yes","Yes","Friday","No","Yes",378.805,1561.31,1,10774,10219,10393.805,11576.31
1945,215,10,"No","Yes","Yes","Saturday","No","Yes",411.035,1643.35,4,11960,10230,10426.035,11658.35
4035,222,25,"No","Yes","Yes","Saturday","No","Yes",488.155,1708.57,7,14050,10237,10503.155,11723.57
2684,209,22,"No","Yes","Yes","Sunday","No","Yes",409.16,1581.12,5,12699,10224,10424.16,11596.12
1735,213,9,"No","No","No","Thursday","No","No",178.275,1172.69,3,11750,10228,10193.275,11187.69
2333,202,23,"No","No","Yes","Wednesday","No","No",300.655,1197.56,4,12348,10217,10315.655,11212.56
1994,218,9,"No","No","Yes","Saturday","No","Yes",348.2,1560.82,4,12009,10233,10363.2,11575.82
573,210,0,"No","Yes","No","Wednesday","No","No",231.245,1209.27,1,10588,10225,10246.245,11224.27
3737,220,28,"Yes","No","Yes","Saturday","No","Yes",401.605,1695.22,7,13752,10235,10416.605,11710.22
2807,213,36,"No","Yes","No","Saturday","No","Yes",391.325,1568.65,5,12822,10228,10406.325,11583.65
2750,211,15,"No","Yes","No","Friday","No","Yes",337.34,1570.18,5,12765,10226,10352.34,11585.18
3988,216,0,"No","No","Yes","Thursday","No","No",308.97,1350.75,7,14003,10231,10323.97,11365.75
2090,207,20,"No","Yes","Yes","Sunday","No","Yes",467.03,1580.08,4,12105,10222,10482.03,11595.08
1778,219,22,"Yes","Yes","No","Sunday","No","Yes",340.4,1579.21,3,11793,10234,10355.4,11594.21
2176,219,0,"No","Yes","No","Saturday","No","Yes",320.96,1536.01,4,12191,10234,10335.96,11551.01
1411,204,10,"No","Yes","Yes","Wednesday","No","No",321.395,1307.57,3,11426,10219,10336.395,11322.57
848,218,8,"Yes","No","Yes","Wednesday","No","No",279.91,1179.46,2,10863,10233,10294.91,11194.46
1146,215,13,"No","Yes","Yes","Wednesday","No","No",319.39,1138.56,2,11161,10230,10334.39,11153.56
2031,202,13,"No","Yes","Yes","Tuesday","No","No",327.425,1302.46,4,12046,10217,10342.425,11317.46
1947,204,9,"No","Yes","Yes","Saturday","No","Yes",371.315,1544.45,4,11962,10219,10386.315,11559.45
2422,209,11,"Yes","No","Yes","Saturday","No","Yes",396.28,1518.66,4,12437,10224,10411.28,11533.66
