miles,passengers,delay,inflight_meal,inflight_entertainment,inflight_wifi,day_of_week,redeye,weekend,coach_price,firstclass_price,hours
750,215,0,No,No,Yes,Sunday,No,Yes,291.98,1368.55,1
3998,223,0,No,Yes,Yes,Saturday,No,Yes,482.84,1773.93,7
3893,212,0,No,Yes,Yes,Saturday,No,Yes,424.135,1649.38,7
1309,206,0,No,Yes,Yes,Saturday,No,Yes,380.255,1504.87,2
1239,222,0,No,Yes,Yes,Wednesday,No,No,387.815,1122.01,2
388,222,0,No,Yes,No,Tuesday,No,No,243.72,1204.79,1
897,214,0,No,Yes,Yes,Tuesday,No,No,270.125,1180.27,2
793,187,0,No,No,Yes,Thursday,No,No,231.835,1166.5,1
1846,222,0,Yes,Yes,No,Saturday,No,Yes,374.92,1500.74,3
2611,207,0,Yes,Yes,Yes,Saturday,No,Yes,463.205,1701.05,5
1064,212,0,Yes,Yes,Yes,Thursday,No,No,329.58,1274.67,2
4056,218,0,No,No,Yes,Sunday,No,Yes,430.03,1583.68,7
2562,202,0,Yes,Yes,Yes,Friday,No,Yes,440.74,1661.43,5
2485,213,0,Yes,Yes,Yes,Thursday,No,No,415.865,1354.89,5
1897,210,0,No,Yes,Yes,Friday,No,Yes,398.455,1554.22,3
3144,210,0,Yes,Yes,Yes,Friday,No,Yes,458.42,1631.3,6
710,215,0,No,Yes,Yes,Thursday,No,No,303.63,1240.04,1
2622,218,0,No,Yes,Yes,Friday,No,Yes,436.27,1670.67,5
2047,209,0,Yes,Yes,Yes,Saturday,No,Yes,476.605,1578.55,4
1561,205,0,No,No,No,Wednesday,No,No,213.645,1062.2,3
2414,205,0,Yes,No,Yes,Tuesday,No,No,306.14,1194.69,4
775,213,0,No,Yes,Yes,Saturday,No,Yes,380.595,1511.73,1
1356,219,0,No,No,Yes,Monday,No,No,197.98,1176.86,2
2654,212,0,Yes,Yes,Yes,Thursday,No,No,351.47,1357,5
1662,174,0,No,Yes,Yes,Saturday,Yes,Yes,366.77,1590.2,3
802,211,0,No,Yes,Yes,Friday,No,Yes,459.12,1485.1,1
4119,200,0,No,No,Yes,Sunday,No,Yes,414.545,1641.8,7
3912,212,0,Yes,Yes,Yes,Thursday,No,No,453.42,1440.86,7
3166,207,0,Yes,Yes,Yes,Sunday,No,Yes,493.27,1655.79,6
2537,218,0,No,Yes,Yes,Tuesday,No,No,358.185,1315.35,5
2374,209,0,No,Yes,Yes,Friday,No,Yes,439.13,1550.2,4
1460,204,0,No,Yes,No,Friday,No,Yes,330.17,1493.35,3
2093,199,0,No,No,Yes,Saturday,No,Yes,391.395,1491.35,4
1688,199,0,No,Yes,Yes,Saturday,No,Yes,411.7,1575.42,3
847,202,0,No,Yes,Yes,Monday,No,No,284.205,1280.02,2
2211,215,0,No,No,Yes,Friday,No,Yes,311.915,1517.25,4
684,195,0,No,Yes,Yes,Thursday,No,No,339.12,1270.43,1
866,207,0,No,Yes,Yes,Saturday,No,Yes,390.09,1464.8,2
1637,217,0,No,Yes,Yes,Saturday,No,Yes,437.235,1623.18,3
2352,159,0,Yes,Yes,Yes,Sunday,Yes,Yes,368.25,1595.77,4
2125,215,0,No,Yes,Yes,Wednesday,No,No,389.905,1285.65,4
1625,211,0,Yes,Yes,Yes,Friday,No,Yes,433.485,1602.31,3
1813,216,0,Yes,Yes,Yes,Monday,No,No,378.965,1214.22,3
2117,206,0,Yes,Yes,Yes,Sunday,No,Yes,491.985,1612.89,4
814,205,0,No,Yes,Yes,Saturday,No,Yes,386.49,1545.72,1
600,215,0,No,Yes,Yes,Sunday,No,Yes,379.74,1483.42,1
2268,198,0,No,Yes,Yes,Sunday,No,Yes,425.27,1628.49,4
2289,172,0,No,Yes,Yes,Wednesday,Yes,No,297.205,1229.12,4
2351,220,0,No,No,Yes,Saturday,No,Yes,365.385,1594.25,4
1772,204,0,No,Yes,Yes,Saturday,No,Yes,406.47,1597.94,3
2250,216,0,No,No,Yes,Sunday,No,Yes,378.63,1535.26,4
2395,205,0,No,No,Yes,Tuesday,No,No,274.015,1291.92,4
1192,204,0,No,No,Yes,Sunday,No,Yes,315.81,1439.25,2
2974,207,0,No,Yes,Yes,Monday,No,No,415.66,1350.03,5
747,206,0,No,Yes,Yes,Monday,No,No,310.145,1202.29,1
1743,210,0,No,Yes,No,Saturday,No,Yes,403.595,1520.34,3
1609,211,0,No,Yes,Yes,Monday,No,No,308.065,1167.43,3
1580,210,0,No,Yes,Yes,Monday,No,No,312.16,1206.3,3
2526,229,0,No,No,Yes,Monday,No,No,277.3,1200.96,5
2779,185,0,No,Yes,Yes,Saturday,No,Yes,474.985,1571.61,5
984,197,0,No,Yes,Yes,Wednesday,No,No,279.03,1230.99,2
769,215,0,No,Yes,Yes,Saturday,No,Yes,375.585,1536.47,1
702,220,0,Yes,Yes,Yes,Monday,No,No,307.31,1333.62,1
2470,212,0,No,Yes,Yes,Sunday,No,Yes,421.13,1621.34,4
742,202,0,Yes,No,Yes,Friday,No,Yes,363.11,1419.94,1
1638,212,0,No,No,Yes,Saturday,No,Yes,335.01,1473.42,3
735,200,0,No,Yes,Yes,Friday,No,Yes,366.765,1575.15,1
3846,165,0,Yes,Yes,Yes,Tuesday,Yes,No,342.39,1388.49,7
1444,201,0,No,Yes,Yes,Sunday,No,Yes,400.19,1549.68,3
2020,194,0,No,Yes,Yes,Thursday,No,No,346.29,1253.87,4
2563,212,0,Yes,Yes,Yes,Saturday,No,Yes,496.975,1590.18,5
969,212,0,Yes,Yes,Yes,Saturday,No,Yes,435.695,1578.9,2
1401,196,0,No,Yes,Yes,Tuesday,No,No,286.035,1216.56,3
2303,206,0,No,Yes,Yes,Saturday,No,Yes,461.545,1618.38,4
1943,208,0,No,Yes,Yes,Friday,No,Yes,433.065,1491.58,4
2538,198,0,No,Yes,Yes,Sunday,No,Yes,444.74,1600.45,5
2444,202,0,No,Yes,Yes,Monday,No,No,382.52,1353.1,4
2382,219,0,No,Yes,Yes,Saturday,No,Yes,461.78,1585.91,4
1354,218,0,No,Yes,Yes,Friday,No,Yes,402.98,1512.51,2
3767,205,0,No,No,Yes,Saturday,No,Yes,422.475,1535.94,7
1973,205,0,No,No,Yes,Friday,No,Yes,363.825,1445.48,4
720,201,0,Yes,Yes,Yes,Wednesday,No,No,337.42,1270.35,1
1390,193,0,No,Yes,Yes,Wednesday,No,No,314.76,1221.23,3
2496,212,0,No,Yes,Yes,Sunday,No,Yes,483.95,1549.7,5
2305,209,0,Yes,No,Yes,Saturday,No,Yes,388.035,1593.86,4
2313,214,0,No,Yes,Yes,Sunday,No,Yes,405.305,1543.3,4
3952,195,0,No,No,No,Wednesday,No,No,279.3,1189.59,7
732,212,0,No,Yes,Yes,Friday,No,Yes,386.37,1499.65,1
2170,213,0,No,Yes,Yes,Friday,No,Yes,404.21,1527.14,4
766,210,0,No,Yes,Yes,Thursday,No,No,339.06,1231.41,1
2477,206,0,No,Yes,Yes,Sunday,No,Yes,462.885,1593.94,5
2971,217,0,No,Yes,Yes,Tuesday,No,No,304.915,1357.25,5
2667,212,0,No,Yes,Yes,Monday,No,No,327.705,1363.45,5
772,212,0,No,Yes,Yes,Monday,No,No,256.51,1172.44,1
2698,199,0,Yes,Yes,Yes,Friday,No,Yes,492.06,1659.93,5
1979,212,0,No,Yes,No,Saturday,No,Yes,360.915,1529.48,4
817,211,0,No,Yes,Yes,Tuesday,No,No,316.105,1276.12,1
3872,209,0,Yes,Yes,Yes,Sunday,No,Yes,445.22,1678.99,7
3973,210,0,Yes,Yes,Yes,Sunday,No,Yes,468.945,1682.02,7
2027,228,0,Yes,Yes,Yes,Tuesday,No,No,365.025,1323.53,4
1563,202,0,Yes,Yes,Yes,Friday,No,Yes,439.855,1545.04,3
1909,148,0,No,Yes,Yes,Sunday,Yes,Yes,372.085,1553.62,3
804,205,0,Yes,Yes,No,Saturday,No,Yes,379.95,1497.77,1
846,220,0,No,Yes,Yes,Saturday,No,Yes,355.6,1499.42,2
2090,216,0,No,Yes,Yes,Monday,No,No,337.03,1235.49,4
1963,222,0,Yes,Yes,Yes,Sunday,No,Yes,396.895,1574.14,4
3871,214,0,No,Yes,Yes,Saturday,No,Yes,472.795,1719.34,7
2925,209,0,No,No,No,Wednesday,No,No,196.705,1145.49,5
669,219,0,Yes,No,Yes,Monday,No,No,250.815,1174.3,1
1599,207,0,Yes,Yes,Yes,Monday,No,No,374.045,1418.8,3
714,201,0,No,Yes,Yes,Friday,No,Yes,353.57,1512.95,1
2060,213,0,No,Yes,Yes,Sunday,No,Yes,445.1,1594.55,4
1924,210,0,No,Yes,Yes,Wednesday,No,No,310.45,1249.37,3
2888,215,0,No,No,Yes,Tuesday,No,No,323.18,1279.68,5
763,215,0,Yes,Yes,No,Monday,No,No,266.115,1142.87,1
856,207,0,No,Yes,Yes,Thursday,No,No,299.47,1239.86,2
1449,197,0,Yes,Yes,Yes,Sunday,No,Yes,439.065,1574.91,3
537,199,0,No,Yes,No,Friday,No,Yes,306.125,1408.32,1
2414,203,0,No,Yes,Yes,Saturday,No,Yes,491.63,1529.87,4
2700,199,0,No,Yes,Yes,Friday,No,Yes,487.83,1614.15,5
2481,211,0,No,Yes,Yes,Tuesday,No,No,408.085,1245.73,5
643,202,0,No,Yes,Yes,Sunday,No,Yes,415.715,1462.81,1
2270,225,0,No,Yes,Yes,Monday,No,No,342.22,1304.53,4
1856,206,0,No,Yes,Yes,Tuesday,No,No,333.99,1293.58,3
1796,202,0,No,Yes,Yes,Sunday,No,Yes,420.45,1579.59,3
2202,209,0,No,Yes,Yes,Monday,No,No,342.71,1362.52,4
2088,208,0,No,Yes,Yes,Saturday,No,Yes,432.07,1616.25,4
2486,195,0,No,Yes,Yes,Saturday,No,Yes,450.2,1538.81,5
721,199,0,No,Yes,Yes,Monday,No,No,278.125,1216.87,1
3042,216,0,Yes,Yes,Yes,Saturday,No,Yes,472.97,1656.12,6
598,216,0,No,Yes,Yes,Tuesday,No,No,306.32,1150.56,1
2120,213,0,No,No,Yes,Monday,No,No,263.44,1209.11,4
1560,203,0,Yes,No,Yes,Sunday,No,Yes,367.84,1487.02,3
1921,208,0,No,Yes,Yes,Saturday,No,Yes,446.475,1554.17,3
1646,214,0,No,Yes,Yes,Saturday,No,Yes,381.35,1537.67,3
1253,193,0,No,No,Yes,Tuesday,No,No,217.705,1130.71,2
839,204,0,No,Yes,Yes,Saturday,No,Yes,413.855,1479.4,2
516,214,0,Yes,Yes,Yes,Tuesday,No,No,358.04,1246.15,1
2298,214,0,No,Yes,Yes,Saturday,No,Yes,414.82,1566.36,4
2769,179,0,Yes,No,Yes,Monday,Yes,No,267.675,1255.1,5
4095,213,0,No,Yes,No,Sunday,No,Yes,428.615,1591.59,7
723,208,0,No,Yes,Yes,Friday,No,Yes,415.005,1480.47,1
2498,205,0,No,Yes,Yes,Friday,No,Yes,427.37,1581.2,5
1955,223,0,No,No,Yes,Friday,No,Yes,331.745,1492.9,4
4239,221,0,No,Yes,Yes,Saturday,No,Yes,432.905,1678.51,8
2037,225,0,No,Yes,Yes,Tuesday,No,No,345.435,1231.6,4
1852,212,0,Yes,Yes,Yes,Friday,No,Yes,482.83,1517.2,3
2162,214,0,No,Yes,Yes,Sunday,No,Yes,459.63,1528.92,4
2745,220,0,No,Yes,Yes,Friday,No,Yes,476.535,1587.43,5
4131,230,0,No,No,Yes,Friday,No,Yes,406.565,1591.73,8
1376,211,0,No,No,Yes,Saturday,No,Yes,269.52,1477.05,3
1499,205,0,No,Yes,No,Sunday,No,Yes,322.535,1406.48,3
1128,205,0,No,No,Yes,Saturday,No,Yes,367.75,1474.54,2
1302,215,0,No,Yes,Yes,Friday,No,Yes,362.21,1521.45,2
733,212,0,No,Yes,Yes,Thursday,No,No,331.625,1217.39,1
3803,205,0,No,No,Yes,Friday,No,Yes,336.705,1597.62,7
2042,209,0,No,Yes,Yes,Friday,No,Yes,443.99,1608.4,4
1416,216,0,No,Yes,Yes,Saturday,No,Yes,393.08,1494.74,3
1738,204,0,No,No,Yes,Sunday,No,Yes,323.84,1570.49,3
3019,209,0,Yes,Yes,Yes,Tuesday,No,No,404.235,1314.27,5
1804,213,0,Yes,Yes,No,Friday,No,Yes,351.83,1504.96,3
579,219,0,Yes,Yes,Yes,Sunday,No,Yes,410.585,1551.73,1
1730,212,0,Yes,Yes,Yes,Sunday,No,Yes,445.07,1611.8,3
1414,199,0,No,No,Yes,Saturday,No,Yes,337.4,1521.46,3
2125,206,0,No,Yes,Yes,Saturday,No,Yes,455.345,1594.48,4
1831,203,0,No,Yes,Yes,Friday,No,Yes,411.725,1578.07,3
3997,213,0,No,Yes,Yes,Monday,No,No,394.105,1369.21,7
1881,209,0,No,Yes,Yes,Sunday,No,Yes,477.375,1494.57,3
770,220,0,Yes,Yes,Yes,Friday,No,Yes,388.08,1609.56,1
2200,208,0,Yes,No,No,Sunday,No,Yes,360.13,1509.68,4
2056,220,0,No,No,Yes,Sunday,No,Yes,357.78,1454.06,4
1725,206,0,No,No,Yes,Saturday,No,Yes,394.375,1543.82,3
1109,191,0,Yes,Yes,Yes,Saturday,No,Yes,399.765,1527.17,2
2394,216,0,No,Yes,Yes,Friday,No,Yes,416.27,1562.86,4
3057,200,0,Yes,Yes,Yes,Monday,No,No,406.805,1407.68,6
1544,203,0,No,Yes,Yes,Tuesday,No,No,346.22,1238.5,3
2453,200,0,No,No,Yes,Monday,No,No,287.545,1199.44,4
2376,217,0,No,Yes,Yes,Friday,No,Yes,479.83,1618.15,4
2037,217,0,No,Yes,Yes,Friday,No,Yes,428.085,1550.71,4
2282,216,0,No,Yes,Yes,Tuesday,No,No,376.33,1256.19,4
2435,202,0,Yes,Yes,Yes,Sunday,No,Yes,482.405,1670.43,4
2422,211,0,Yes,Yes,Yes,Sunday,No,Yes,451.4,1650.79,4
3948,213,0,No,Yes,Yes,Saturday,No,Yes,512.5,1706.89,7
565,223,0,Yes,Yes,Yes,Sunday,No,Yes,400.015,1472.4,1
690,198,0,No,Yes,Yes,Sunday,No,Yes,383.15,1405.75,1
2462,222,0,No,Yes,Yes,Thursday,No,No,361.03,1251.94,4
2815,210,0,Yes,Yes,Yes,Saturday,No,Yes,434.135,1697.11,5
408,201,0,No,Yes,Yes,Saturday,No,Yes,408.33,1460.95,1
1732,211,0,No,Yes,Yes,Sunday,No,Yes,410.4,1564.24,3
893,208,0,No,Yes,Yes,Sunday,No,Yes,409.785,1491.32,2
1969,226,0,No,Yes,Yes,Friday,No,Yes,414.165,1629.34,4
2347,232,0,No,Yes,Yes,Sunday,No,Yes,430.885,1472.07,4
1169,214,0,No,Yes,Yes,Tuesday,No,No,313.555,1279.53,2
1786,215,0,Yes,Yes,Yes,Sunday,No,Yes,487.55,1533.95,3
722,212,0,No,Yes,Yes,Saturday,No,Yes,438.27,1460.99,1
1349,211,0,No,Yes,Yes,Tuesday,No,No,357.315,1182.95,2
1889,206,0,Yes,Yes,Yes,Tuesday,No,No,344.875,1360.21,3
2563,213,0,Yes,Yes,Yes,Monday,No,No,392.125,1355.49,5
2133,209,0,No,Yes,Yes,Wednesday,No,No,355.955,1319.66,4
2370,215,0,No,Yes,Yes,Sunday,No,Yes,465.21,1562.15,4
623,211,0,No,Yes,Yes,Sunday,No,Yes,423.985,1520.96,1
1201,204,0,No,Yes,Yes,Saturday,No,Yes,402.645,1524.78,2
4026,210,0,No,No,Yes,Sunday,No,Yes,438.31,1593.42,7
2127,202,0,No,No,Yes,Sunday,No,Yes,300.435,1518.39,4
2210,212,0,No,Yes,No,Saturday,No,Yes,323.9,1593.09,4
2461,208,0,Yes,No,Yes,Sunday,No,Yes,326.105,1539.49,4
1957,216,0,No,Yes,Yes,Saturday,No,Yes,446.825,1600.47,4
1157,217,0,No,No,No,Friday,No,Yes,241.005,1425.61,2
2643,205,0,No,Yes,Yes,Saturday,No,Yes,483.295,1589.5,5
1694,199,0,No,Yes,No,Sunday,No,Yes,314.86,1536.08,3
2331,208,0,Yes,Yes,No,Saturday,No,Yes,422.195,1575.09,4
1753,203,0,Yes,No,Yes,Saturday,No,Yes,405.335,1438.72,3
2743,218,0,No,Yes,Yes,Sunday,No,Yes,427.535,1604.02,5
2206,207,0,No,Yes,Yes,Sunday,No,Yes,425.9,1590.01,4
4034,216,0,No,Yes,Yes,Tuesday,No,No,378.99,1364.86,7
1979,211,0,Yes,Yes,Yes,Friday,No,Yes,464.155,1623.8,4
2612,213,0,No,No,Yes,Monday,No,No,277.95,1250.32,5
1733,216,0,No,Yes,Yes,Saturday,No,Yes,440.775,1551.21,3
2075,196,0,No,Yes,Yes,Saturday,No,Yes,453.955,1523.34,4
